hostname,type,ip,iLOIP,StartupPriority,ShutdownPriority
ws-01.domain.local,HPClient,10.195.7.131,,,1
ws-02.domain.local,HPClient,10.195.7.132,,,2
ws-03.domain.local,HPClient,10.195.7.133,,,3
ws-04.domain.local,HPClient,10.195.7.134,,,4
vm1.domain.local,VMwareVM,10.195.7.8,,29,5
dc02.domain.local,VMwareVM,10.195.7.7,,28,6
vm2.domain.local,VMwareVM,10.195.7.53,,27,7
srv-role1-04.domain.local,HPSrvWin,10.195.7.44,10.195.7.94,26,8
srv-role1-03.domain.local,HPSrvWin,10.195.7.43,10.195.7.93,25,9
srv-role1-02.domain.local,HPSrvWin,10.195.7.42,10.195.7.92,24,10
srv-role1-01.domain.local,HPSrvWin,10.195.7.41,10.195.7.91,23,11
srv-role2-04.domain.local,HPSrvWin,10.195.7.24,10.195.7.84,22,12
srv-role2-03.domain.local,HPSrvWin,10.195.7.23,10.195.7.83,21,13
srv-role2-02.domain.local,HPSrvWin,10.195.7.22,10.195.7.82,20,14
srv-role3-04.domain.local,VMwareVM,10.195.7.34,,19,15
srv-role3-03.domain.local,VMwareVM,10.195.7.33,,18,16
srv-role3-02.domain.local,VMwareVM,10.195.7.32,,17,17
srv-role3-01.domain.local,VMwareVM,10.195.7.31,,16,18
esxi-05.domain.local,HPSrvESXi,10.195.7.15,10.195.7.75,15,19
srv-role3-cnir-01.domain.local,VMwareVM,10.195.7.30,,14,20
srv-role4-01.domain.local,VMwareVM,10.195.7.51,,13,21
esxi-04.domain.local,HPSrvESXi,10.195.7.14,10.195.7.74,12,22
srv-role5.domain.local,VMwareVM,10.195.7.28,,11,23
srv-role6-01.domain.local,VMwareVM,10.195.7.29,,10,24
esxi-03.domain.local,HPSrvESXi,10.195.7.13,10.195.7.73,9,25
srv-role7.domain.local,VMwareVM,10.195.7.27,,8,26
esxi-02.domain.local,HPSrvESXi,10.195.7.12,10.195.7.72,7,27
srv-db.domain.local,HPSrvWin,10.195.7.26,10.195.7.86,6,28
srv-role2-01.domain.local,HPSrvWin,10.195.7.21,10.195.7.81,5,29
vcenter.domain.local,VMwareVM,10.195.7.10,,4,30
deploysrv.domain.local,VMwareVM,10.195.7.9,,3,31
pdc.domain.local,VMwareVM,10.195.7.6,,2,32
NetApp,storage,,10.195.7.103,,33
esxi-01.domain.local,HPSrvESXi,10.195.7.11,10.195.7.71,1,34
bastion-ws.domain.local,HPClient,10.195.7.130,,,
NetApp1,storage,10.195.7.1,10.195.7.101,,
NetApp2,storage,10.195.7.2,10.195.7.102,,
